device_id,alarm_time,alarm_type,alarm_level,description
RSU-2412,2025-06-05 08:20:19,网络延迟,low,网络延迟达到2922ms，数据传输可能出现丢包
DEV-3696,2025-06-04 19:44:12,数据异常,high,检测到异常数据波动，数值偏离正常范围23%
VMS-4540,2025-06-02 08:37:49,设备离线,low,设备检测到通信中断，已超过25分钟未收到心跳信号
CAM-3584,2025-06-03 09:09:10,设备离线,low,设备检测到通信中断，已超过20分钟未收到心跳信号
CAM-8906,2025-06-04 21:34:06,数据异常,high,检测到异常数据波动，数值偏离正常范围74%
RSU-2876,2025-06-02 18:47:43,通讯中断,critical,与中心服务器通信中断，最后心跳时间114分钟前
RSU-2876,2025-06-04 18:51:05,存储满,medium,磁盘使用率超过86%，存储空间即将耗尽
VMS-2566,2025-06-05 21:00:40,数据异常,high,检测到异常数据波动，数值偏离正常范围45%
RSU-2412,2025-06-05 17:26:16,内存不足,medium,内存使用率达到99%，接近物理内存上限
VMS-9485,2025-06-07 16:43:26,存储满,medium,磁盘使用率超过91%，存储空间即将耗尽
DEV-3696,2025-06-01 12:38:25,数据异常,high,检测到异常数据波动，数值偏离正常范围44%
SEN-8721,2025-06-07 18:23:56,设备离线,low,设备检测到通信中断，已超过21分钟未收到心跳信号
SEN-6121,2025-06-05 14:37:17,设备离线,low,设备检测到通信中断，已超过29分钟未收到心跳信号
VMS-6450,2025-06-04 17:02:54,电源故障,critical,主电源异常，已切换至备用电源，预计续航2小时
DEV-5141,2025-06-06 00:50:16,通讯中断,critical,与中心服务器通信中断，最后心跳时间15分钟前
VMS-6450,2025-06-06 18:53:37,存储满,medium,磁盘使用率超过89%，存储空间即将耗尽
CAM-5320,2025-06-01 17:21:11,存储满,medium,磁盘使用率超过94%，存储空间即将耗尽
DEV-3696,2025-06-02 07:37:17,内存不足,medium,内存使用率达到85%，接近物理内存上限
CAM-8906,2025-06-01 08:01:45,CPU过载,medium,CPU使用率持续超过95%，可能影响设备正常运行
DEV-5141,2025-06-03 08:24:08,传感器失效,high,传感器C相连续5次数据采集失败
CAM-8906,2025-06-06 11:26:58,传感器失效,high,传感器A相连续3次数据采集失败
CAM-3584,2025-06-04 18:19:23,传感器失效,high,传感器C相连续5次数据采集失败
VMS-5226,2025-06-03 17:40:37,存储满,medium,磁盘使用率超过88%，存储空间即将耗尽
CAM-8906,2025-06-02 18:12:24,网络延迟,low,网络延迟达到2866ms，数据传输可能出现丢包
SEN-7909,2025-06-01 18:30:17,内存不足,medium,内存使用率达到91%，接近物理内存上限
CAM-9540,2025-06-05 18:48:02,设备离线,low,设备检测到通信中断，已超过39分钟未收到心跳信号
CAM-9540,2025-06-04 21:38:48,存储满,medium,磁盘使用率超过97%，存储空间即将耗尽
VMS-7793,2025-06-01 18:00:20,存储满,medium,磁盘使用率超过93%，存储空间即将耗尽
VMS-4540,2025-06-03 07:59:19,电源故障,critical,主电源异常，已切换至备用电源，预计续航3小时
VMS-7793,2025-06-05 08:26:41,电源故障,critical,主电源异常，已切换至备用电源，预计续航1小时
SEN-8721,2025-06-06 06:01:35,存储满,medium,磁盘使用率超过88%，存储空间即将耗尽
SEN-6121,2025-06-07 06:55:20,CPU过载,medium,CPU使用率持续超过87%，可能影响设备正常运行
RSU-9703,2025-06-03 06:48:35,温度过高,high,设备温度达到70°C，超过正常工作温度范围
RSU-9703,2025-06-05 17:39:50,CPU过载,medium,CPU使用率持续超过94%，可能影响设备正常运行
VMS-7793,2025-06-02 18:44:22,设备离线,low,设备检测到通信中断，已超过33分钟未收到心跳信号
SEN-8721,2025-06-07 14:02:11,设备离线,low,设备检测到通信中断，已超过50分钟未收到心跳信号
VMS-9485,2025-06-05 20:15:15,存储满,medium,磁盘使用率超过95%，存储空间即将耗尽
RSU-6684,2025-06-01 18:28:03,网络延迟,low,网络延迟达到1686ms，数据传输可能出现丢包
RSU-2412,2025-06-06 12:38:13,网络延迟,low,网络延迟达到1830ms，数据传输可能出现丢包
VMS-5226,2025-06-04 11:05:43,内存不足,medium,内存使用率达到97%，接近物理内存上限
VMS-9055,2025-06-06 07:16:18,网络延迟,low,网络延迟达到1858ms，数据传输可能出现丢包
SEN-7909,2025-06-06 10:29:52,CPU过载,medium,CPU使用率持续超过94%，可能影响设备正常运行
CAM-9540,2025-06-05 08:58:36,通讯中断,critical,与中心服务器通信中断，最后心跳时间97分钟前
CAM-5094,2025-06-05 08:46:28,网络延迟,low,网络延迟达到1084ms，数据传输可能出现丢包
DEV-5777,2025-06-02 09:09:34,电源故障,critical,主电源异常，已切换至备用电源，预计续航3小时
SEN-6121,2025-06-01 07:06:41,CPU过载,medium,CPU使用率持续超过86%，可能影响设备正常运行
RSU-4083,2025-06-01 10:03:34,网络延迟,low,网络延迟达到1874ms，数据传输可能出现丢包
DEV-5777,2025-06-01 06:49:34,电源故障,critical,主电源异常，已切换至备用电源，预计续航8小时
CAM-3584,2025-06-07 16:13:14,设备离线,low,设备检测到通信中断，已超过41分钟未收到心跳信号
RSU-9703,2025-06-07 07:36:52,网络延迟,low,网络延迟达到632ms，数据传输可能出现丢包
CAM-8906,2025-06-02 18:44:02,电源故障,critical,主电源异常，已切换至备用电源，预计续航2小时
SEN-9113,2025-06-01 20:47:01,电源故障,critical,主电源异常，已切换至备用电源，预计续航3小时
CAM-3584,2025-06-01 17:22:47,电源故障,critical,主电源异常，已切换至备用电源，预计续航2小时
SEN-8721,2025-06-07 15:19:21,CPU过载,medium,CPU使用率持续超过99%，可能影响设备正常运行
RSU-4083,2025-06-02 18:38:02,设备离线,low,设备检测到通信中断，已超过42分钟未收到心跳信号
SEN-7909,2025-06-05 07:30:12,设备离线,low,设备检测到通信中断，已超过19分钟未收到心跳信号
SEN-9113,2025-06-01 03:25:14,存储满,medium,磁盘使用率超过94%，存储空间即将耗尽
VMS-6450,2025-06-07 12:00:46,内存不足,medium,内存使用率达到87%，接近物理内存上限
VMS-5226,2025-06-06 18:22:37,CPU过载,medium,CPU使用率持续超过88%，可能影响设备正常运行
CAM-5320,2025-06-02 17:13:43,通讯中断,critical,与中心服务器通信中断，最后心跳时间50分钟前
VMS-3279,2025-06-04 18:30:10,电源故障,critical,主电源异常，已切换至备用电源，预计续航3小时
SEN-8721,2025-06-07 19:48:31,温度过高,high,设备温度达到80°C，超过正常工作温度范围
CAM-9540,2025-06-07 07:57:11,网络延迟,low,网络延迟达到1889ms，数据传输可能出现丢包
RSU-1640,2025-06-03 09:44:48,传感器失效,high,传感器C相连续9次数据采集失败
SEN-7909,2025-06-05 08:23:40,CPU过载,medium,CPU使用率持续超过85%，可能影响设备正常运行
DEV-3696,2025-06-01 06:03:44,设备离线,low,设备检测到通信中断，已超过57分钟未收到心跳信号
CAM-5320,2025-06-06 23:16:52,CPU过载,medium,CPU使用率持续超过85%，可能影响设备正常运行
DEV-5777,2025-06-04 18:58:03,内存不足,medium,内存使用率达到88%，接近物理内存上限
DEV-5141,2025-06-05 06:08:54,电源故障,critical,主电源异常，已切换至备用电源，预计续航3小时
DEV-9259,2025-06-02 11:38:50,设备离线,low,设备检测到通信中断，已超过35分钟未收到心跳信号
DEV-5141,2025-06-04 14:33:58,温度过高,high,设备温度达到71°C，超过正常工作温度范围
VMS-4540,2025-06-02 06:25:02,网络延迟,low,网络延迟达到1112ms，数据传输可能出现丢包
SEN-7909,2025-06-04 08:47:40,电源故障,critical,主电源异常，已切换至备用电源，预计续航8小时
SEN-6121,2025-06-05 17:59:43,传感器失效,high,传感器B相连续4次数据采集失败
CAM-5094,2025-06-06 17:27:12,设备离线,low,设备检测到通信中断，已超过50分钟未收到心跳信号
DEV-3696,2025-06-03 10:54:07,设备离线,low,设备检测到通信中断，已超过15分钟未收到心跳信号
VMS-6450,2025-06-01 10:07:00,网络延迟,low,网络延迟达到1537ms，数据传输可能出现丢包
SEN-7909,2025-06-03 01:56:03,CPU过载,medium,CPU使用率持续超过87%，可能影响设备正常运行
DEV-9259,2025-06-03 16:34:20,传感器失效,high,传感器主传感器连续7次数据采集失败
VMS-2566,2025-06-06 15:51:37,存储满,medium,磁盘使用率超过91%，存储空间即将耗尽
DEV-5777,2025-06-05 14:29:16,通讯中断,critical,与中心服务器通信中断，最后心跳时间84分钟前
VMS-9055,2025-06-01 00:24:38,通讯中断,critical,与中心服务器通信中断，最后心跳时间5分钟前
VMS-5226,2025-06-07 00:20:48,存储满,medium,磁盘使用率超过99%，存储空间即将耗尽
VMS-9485,2025-06-04 16:21:57,网络延迟,low,网络延迟达到2574ms，数据传输可能出现丢包
CAM-8906,2025-06-06 12:31:58,电源故障,critical,主电源异常，已切换至备用电源，预计续航2小时
CAM-3584,2025-06-03 18:48:39,内存不足,medium,内存使用率达到96%，接近物理内存上限
SEN-9448,2025-06-06 03:48:59,数据异常,high,检测到异常数据波动，数值偏离正常范围55%
VMS-6450,2025-06-06 07:45:49,通讯中断,critical,与中心服务器通信中断，最后心跳时间79分钟前
DEV-5141,2025-06-01 07:13:21,存储满,medium,磁盘使用率超过97%，存储空间即将耗尽
CAM-5094,2025-06-02 00:57:04,通讯中断,critical,与中心服务器通信中断，最后心跳时间88分钟前
SEN-7909,2025-06-03 17:05:06,温度过高,high,设备温度达到77°C，超过正常工作温度范围
RSU-4083,2025-06-01 19:43:15,内存不足,medium,内存使用率达到85%，接近物理内存上限
RSU-2412,2025-06-07 21:11:06,CPU过载,medium,CPU使用率持续超过86%，可能影响设备正常运行
RSU-6684,2025-06-01 06:02:39,存储满,medium,磁盘使用率超过89%，存储空间即将耗尽
CAM-9540,2025-06-01 18:59:23,通讯中断,critical,与中心服务器通信中断，最后心跳时间12分钟前
VMS-7793,2025-06-05 19:17:21,温度过高,high,设备温度达到79°C，超过正常工作温度范围
RSU-2412,2025-06-03 20:14:22,存储满,medium,磁盘使用率超过86%，存储空间即将耗尽
SEN-9448,2025-06-07 07:45:16,存储满,medium,磁盘使用率超过94%，存储空间即将耗尽
CAM-5094,2025-06-07 11:04:49,通讯中断,critical,与中心服务器通信中断，最后心跳时间43分钟前
VMS-9055,2025-06-03 10:16:47,传感器失效,high,传感器A相连续9次数据采集失败
VMS-4540,2025-06-02 08:34:46,温度过高,high,设备温度达到85°C，超过正常工作温度范围
SEN-9113,2025-06-06 21:48:03,温度过高,high,设备温度达到73°C，超过正常工作温度范围
VMS-9485,2025-06-07 18:59:51,存储满,medium,磁盘使用率超过89%，存储空间即将耗尽
VMS-9055,2025-06-03 08:23:02,温度过高,high,设备温度达到93°C，超过正常工作温度范围
RSU-2876,2025-06-03 11:51:56,网络延迟,low,网络延迟达到2660ms，数据传输可能出现丢包
VMS-6450,2025-06-01 09:05:49,网络延迟,low,网络延迟达到2576ms，数据传输可能出现丢包
VMS-7793,2025-06-01 17:37:54,设备离线,low,设备检测到通信中断，已超过19分钟未收到心跳信号
DEV-5141,2025-06-07 19:54:01,存储满,medium,磁盘使用率超过91%，存储空间即将耗尽
VMS-7793,2025-06-04 22:52:58,电源故障,critical,主电源异常，已切换至备用电源，预计续航8小时
CAM-3584,2025-06-07 06:47:38,数据异常,high,检测到异常数据波动，数值偏离正常范围71%
RSU-4083,2025-06-07 12:25:03,通讯中断,critical,与中心服务器通信中断，最后心跳时间83分钟前
VMS-7793,2025-06-07 18:09:49,设备离线,low,设备检测到通信中断，已超过31分钟未收到心跳信号
VMS-9485,2025-06-07 18:27:47,通讯中断,critical,与中心服务器通信中断，最后心跳时间50分钟前
VMS-6450,2025-06-04 08:32:10,存储满,medium,磁盘使用率超过95%，存储空间即将耗尽
DEV-9259,2025-06-06 08:27:04,数据异常,high,检测到异常数据波动，数值偏离正常范围36%
SEN-7909,2025-06-02 19:24:20,设备离线,low,设备检测到通信中断，已超过45分钟未收到心跳信号
CAM-5320,2025-06-03 08:09:26,通讯中断,critical,与中心服务器通信中断，最后心跳时间86分钟前
RSU-2876,2025-06-06 17:00:19,内存不足,medium,内存使用率达到88%，接近物理内存上限
VMS-7793,2025-06-03 13:46:15,网络延迟,low,网络延迟达到1924ms，数据传输可能出现丢包
