device_id,record_time,cpu_usage_percent,memory_usage_percent,temperature_celsius,online_flag
VMS-3279,2025-06-06 11:11:41,34.6,92.5,26.3,True
VMS-9485,2025-06-04 18:37:56,19.9,50.9,48.9,True
RSU-6684,2025-06-01 01:16:25,53.9,55.8,66.7,True
VMS-9485,2025-06-02 18:20:08,22.0,49.2,40.4,True
SEN-9113,2025-06-04 20:09:49,48.2,63.3,70.9,True
VMS-7793,2025-06-07 12:29:07,16.5,84.2,49.4,True
DEV-3696,2025-06-07 12:59:56,15.6,86.3,35.3,True
VMS-3279,2025-06-04 16:07:37,91.1,33.1,28.0,True
SEN-9219,2025-06-07 17:47:23,78.5,89.6,62.1,True
VMS-4540,2025-06-02 20:13:41,77.5,39.8,72.2,True
DEV-3696,2025-06-03 10:29:38,69.7,64.8,34.5,False
SEN-9448,2025-06-01 07:09:03,54.5,11.9,28.9,True
SEN-9448,2025-06-05 18:23:14,70.0,23.7,29.2,True
VMS-2566,2025-06-03 07:49:18,82.0,48.7,75.7,True
CAM-8906,2025-06-03 01:28:54,76.6,75.3,80.7,True
DEV-9259,2025-06-06 16:39:58,78.0,50.0,74.7,True
RSU-2876,2025-06-07 08:39:08,59.9,69.3,69.4,False
VMS-6450,2025-06-06 12:38:16,67.1,36.2,49.3,True
CAM-3584,2025-06-06 15:26:45,29.8,74.8,39.9,True
RSU-4083,2025-06-03 07:06:33,68.4,80.4,78.7,True
SEN-9219,2025-06-01 14:34:48,43.4,68.3,76.2,True
VMS-9485,2025-06-07 18:01:13,22.1,13.5,71.4,True
VMS-5226,2025-06-05 17:35:08,45.1,65.0,42.8,False
CAM-5094,2025-06-06 06:04:51,59.0,35.3,29.7,True
CAM-5320,2025-06-03 07:55:52,48.7,88.3,64.3,True
SEN-9113,2025-06-07 11:49:39,29.8,80.6,28.6,True
RSU-4083,2025-06-04 01:13:43,73.0,86.9,77.4,True
CAM-9540,2025-06-04 07:05:04,92.9,83.0,47.9,True
VMS-4540,2025-06-04 17:23:09,25.7,91.5,44.9,True
VMS-2566,2025-06-06 18:43:52,29.9,69.4,75.2,True
VMS-7793,2025-06-07 18:19:05,79.0,29.1,55.0,True
CAM-9540,2025-06-05 08:43:05,52.7,62.8,39.8,True
DEV-5141,2025-06-07 13:35:57,28.6,34.3,72.5,True
CAM-3584,2025-06-05 08:03:18,65.5,82.2,45.0,True
VMS-5226,2025-06-07 08:05:09,10.6,63.2,70.1,True
DEV-3696,2025-06-05 19:15:55,13.1,61.3,77.1,True
DEV-9259,2025-06-05 16:11:51,30.2,39.5,64.1,True
CAM-5320,2025-06-04 17:57:05,77.7,40.9,28.0,True
SEN-9219,2025-06-06 22:54:39,33.4,23.3,34.9,True
VMS-5226,2025-06-01 08:19:49,33.0,55.9,77.8,True
VMS-9055,2025-06-06 06:33:52,53.6,94.4,29.8,False
SEN-7909,2025-06-07 07:56:39,56.1,54.4,53.2,True
DEV-9259,2025-06-07 01:04:06,78.7,24.0,31.9,True
SEN-6121,2025-06-03 22:29:30,58.4,30.3,36.6,True
DEV-5141,2025-06-07 17:01:11,28.8,48.4,80.1,True
CAM-5720,2025-06-06 23:24:49,32.9,55.2,53.6,False
DEV-5141,2025-06-07 17:24:35,72.3,94.5,74.5,True
RSU-1640,2025-06-07 20:49:20,24.4,83.6,25.3,True
RSU-9703,2025-06-02 05:48:03,55.3,38.4,61.5,True
CAM-3584,2025-06-05 22:51:11,73.0,41.8,40.0,True
SEN-9448,2025-06-01 13:33:42,67.8,19.9,50.0,True
CAM-5094,2025-06-05 08:46:20,30.9,76.5,69.4,True
VMS-5226,2025-06-04 10:11:07,82.3,82.3,35.1,True
CAM-8906,2025-06-03 18:26:23,19.5,36.9,59.0,True
CAM-8906,2025-06-03 07:17:22,94.4,66.1,34.8,True
