road_id,record_time,avg_speed,traffic_flow,jam_level,congestion_index
RD-18149,2025-06-05 08:04:58,13.2,590,4,8.66
RD-41935,2025-06-07 06:19:24,62.2,212,2,6.54
RD-73274,2025-06-03 19:27:06,65.8,255,3,0.49
RD-59012,2025-06-04 08:06:53,33.4,521,5,5.4
RD-59012,2025-06-04 13:40:06,77.7,439,2,6.82
RD-38518,2025-06-01 07:14:13,8.4,731,4,8.96
RD-65814,2025-06-06 16:35:12,67.8,286,3,7.59
RD-68049,2025-06-02 08:31:10,6.3,930,5,1.86
RD-65814,2025-06-01 06:26:47,42.6,11,1,6.67
RD-60026,2025-06-06 07:16:17,15.8,918,5,8.64
RD-92582,2025-06-01 18:58:11,39.6,888,4,9.64
RD-40951,2025-06-01 18:38:46,38.1,830,4,8.82
RD-50199,2025-06-07 21:32:37,34.1,71,1,4.85
RD-70214,2025-06-07 19:48:59,54.4,108,3,7.33
RD-42510,2025-06-04 19:17:07,90.6,245,2,1.95
RD-32096,2025-06-03 20:21:50,81.9,207,2,0.79
RD-89613,2025-06-06 17:56:15,39.4,368,3,9.04
RD-68269,2025-06-06 17:43:39,9.2,747,4,0.8
RD-37171,2025-06-06 15:01:34,38.7,335,1,2.58
RD-77987,2025-06-01 17:32:11,10.0,643,3,5.36
RD-14705,2025-06-02 17:38:18,25.7,608,3,5.18
RD-15488,2025-06-02 17:36:37,34.1,1452,3,9.7
RD-94800,2025-06-03 07:21:42,25.1,325,4,6.02
RD-59852,2025-06-03 18:49:57,13.6,1400,5,9.44
RD-42922,2025-06-05 07:11:58,15.5,565,5,7.21
RD-30428,2025-06-01 08:35:19,30.3,758,4,2.78
RD-76046,2025-06-01 08:01:30,21.5,414,3,9.68
RD-13357,2025-06-05 17:43:10,18.4,898,5,3.66
RD-59012,2025-06-02 08:14:49,32.9,850,3,5.14
RD-80345,2025-06-07 06:34:30,87.8,102,1,1.14
RD-59852,2025-06-04 08:54:07,15.8,873,5,8.64
RD-88054,2025-06-04 16:04:56,79.7,304,1,1.9
RD-37171,2025-06-07 16:20:07,42.0,426,3,6.25
RD-68269,2025-06-04 00:45:30,78.9,60,3,7.45
RD-59852,2025-06-07 07:05:32,27.0,1210,4,7.13
RD-13357,2025-06-04 07:30:57,19.0,884,5,1.8
RD-38518,2025-06-07 06:56:58,39.6,217,3,3.43
RD-59045,2025-06-06 16:08:56,42.4,432,1,7.73
RD-41935,2025-06-07 20:35:47,37.1,155,1,9.02
RD-59045,2025-06-04 11:59:39,63.3,490,1,8.68
RD-37171,2025-06-01 07:34:53,27.2,515,5,5.42
RD-17303,2025-06-07 17:43:22,25.8,1424,3,8.72
RD-11106,2025-06-06 08:46:01,15.3,655,4,7.1
RD-17303,2025-06-07 18:53:47,21.6,1275,3,7.26
RD-18149,2025-06-05 07:00:50,6.0,1091,3,6.74
RD-59012,2025-06-04 06:36:48,84.1,254,3,3.33
RD-13357,2025-06-07 22:37:30,43.8,382,3,0.17
RD-88767,2025-06-02 07:07:43,22.7,1111,3,6.43
RD-94800,2025-06-07 17:21:20,39.8,516,4,9.03
RD-92582,2025-06-01 12:53:07,70.5,271,3,8.43
RD-88767,2025-06-04 07:17:39,13.4,620,5,5.28
RD-88767,2025-06-06 22:32:34,63.7,132,3,7.64
RD-92869,2025-06-07 14:05:42,80.4,72,2,8.71
RD-88054,2025-06-04 00:35:23,84.8,42,2,5.84
RD-42922,2025-06-02 12:28:14,82.3,35,2,6.72
RD-59012,2025-06-06 08:57:58,24.2,1265,3,9.4
RD-47857,2025-06-01 08:14:42,36.9,1326,3,9.69
RD-70214,2025-06-04 12:27:57,50.1,279,2,7.82
RD-63576,2025-06-01 18:06:55,38.4,1428,3,5.34
RD-41935,2025-06-04 20:59:29,69.6,261,3,1.79
RD-63576,2025-06-06 07:58:57,29.6,372,3,3.72
RD-77987,2025-06-05 12:53:42,72.4,347,1,9.01
RD-89119,2025-06-02 19:32:12,75.1,446,3,7.1
RD-50204,2025-06-04 18:09:57,14.9,1083,3,6.35
RD-17303,2025-06-06 07:19:23,37.1,733,3,5.08
RD-10255,2025-06-06 06:02:21,50.1,429,2,5.22
RD-59752,2025-06-04 05:57:43,34.0,151,3,6.57
RD-76046,2025-06-01 08:05:21,27.6,1310,3,8.2
RD-65814,2025-06-05 15:07:52,85.3,242,2,0.59
RD-30428,2025-06-02 18:33:04,44.8,346,5,6.08
RD-41787,2025-06-04 08:53:56,12.0,1405,4,9.74
RD-75458,2025-06-05 08:33:09,20.9,1374,3,4.7
RD-29468,2025-06-02 19:46:07,52.5,386,2,5.3
RD-59045,2025-06-05 15:20:12,48.0,265,3,2.98
RD-68049,2025-06-01 06:48:36,61.2,137,2,5.95
RD-76046,2025-06-04 19:59:58,40.8,465,2,6.82
RD-60026,2025-06-03 04:02:58,83.8,134,2,8.23
RD-88767,2025-06-01 14:09:04,35.1,105,3,0.19
RD-77987,2025-06-03 06:37:35,50.8,495,2,9.9
RD-38518,2025-06-03 06:25:29,51.3,182,1,6.59
RD-63576,2025-06-06 14:45:59,54.2,197,2,0.94
RD-59012,2025-06-03 18:51:52,13.4,447,3,5.37
RD-11106,2025-06-03 08:01:32,17.1,538,4,7.92
RD-74461,2025-06-03 07:26:37,27.5,385,3,1.9
RD-59045,2025-06-02 08:40:49,12.7,513,4,1.58
RD-41787,2025-06-03 18:46:48,28.6,1115,3,8.01
RD-11106,2025-06-01 06:57:33,78.2,343,3,5.51
RD-41787,2025-06-02 05:43:52,72.8,240,1,0.72
RD-65814,2025-06-01 02:35:41,54.3,211,3,6.83
RD-94800,2025-06-07 06:30:15,33.9,92,2,4.28
RD-28356,2025-06-02 13:32:07,59.9,46,1,6.82
RD-92869,2025-06-02 18:49:32,28.0,1461,5,3.42
RD-42510,2025-06-01 20:03:03,53.1,460,1,7.05
RD-65194,2025-06-01 06:04:19,73.5,117,2,6.6
RD-47857,2025-06-03 08:50:45,44.9,1241,4,7.3
RD-63576,2025-06-06 15:10:46,53.2,411,1,2.42
RD-74461,2025-06-05 07:58:01,22.7,728,4,9.41
RD-68049,2025-06-05 07:41:50,19.0,407,3,6.92
RD-40951,2025-06-02 18:06:49,21.1,742,3,5.48
RD-47857,2025-06-05 13:53:18,61.4,115,3,9.49
RD-59852,2025-06-05 05:18:03,47.4,343,3,7.99
RD-73274,2025-06-06 07:48:16,27.2,1330,5,8.3
RD-94800,2025-06-01 17:11:56,24.4,1058,3,4.46
RD-73274,2025-06-03 18:51:51,22.0,961,3,6.51
RD-29468,2025-06-05 18:54:08,18.9,1261,4,5.31
RD-40951,2025-06-01 06:24:10,31.9,212,2,7.34
RD-14705,2025-06-05 09:36:23,59.6,427,2,3.03
RD-59852,2025-06-03 19:29:26,51.1,122,2,3.66
RD-19332,2025-06-03 05:37:24,84.8,359,3,5.61
RD-92869,2025-06-01 06:26:05,50.1,364,2,4.16
RD-81084,2025-06-02 06:01:10,74.0,439,1,3.27
RD-42510,2025-06-07 18:39:44,13.2,965,4,9.61
RD-40951,2025-06-03 14:41:37,84.3,219,3,6.28
RD-75458,2025-06-06 09:24:14,43.0,168,1,7.79
RD-18149,2025-06-02 23:45:15,29.1,250,1,9.51
RD-81084,2025-06-05 08:14:57,18.6,1078,4,7.87
RD-15488,2025-06-01 18:05:26,9.5,630,3,9.48
RD-19332,2025-06-05 15:16:57,29.4,85,1,2.77
RD-68049,2025-06-01 18:47:09,6.3,828,5,8.91
RD-92582,2025-06-04 19:32:10,62.7,39,3,0.23
RD-81084,2025-06-03 11:39:47,34.0,333,2,1.14
RD-51757,2025-06-02 08:10:38,25.6,924,5,8.71
RD-51757,2025-06-01 19:47:25,63.7,463,2,4.88
RD-60026,2025-06-02 19:56:41,32.8,473,2,0.83
RD-68269,2025-06-04 13:24:15,47.7,282,1,0.74
RD-77987,2025-06-07 05:30:59,31.7,476,3,5.03
RD-18149,2025-06-04 08:07:49,21.8,1151,3,6.42
RD-89119,2025-06-02 12:32:09,63.3,258,2,2.42
RD-68049,2025-06-02 09:34:00,59.5,411,3,8.9
RD-32096,2025-06-03 06:40:44,79.4,326,1,9.27
RD-60026,2025-06-07 07:22:09,39.8,1129,3,6.14
RD-19332,2025-06-01 06:21:58,90.7,143,1,3.06
RD-77987,2025-06-02 06:45:20,85.1,488,3,2.0
RD-29468,2025-06-03 10:21:54,79.2,191,1,3.47
RD-59852,2025-06-01 05:39:08,46.5,73,3,3.71
RD-73274,2025-06-03 07:29:44,17.9,1247,5,6.31
RD-51757,2025-06-05 08:32:17,34.6,490,4,8.26
RD-29468,2025-06-06 06:32:13,60.7,375,3,2.79
RD-80345,2025-06-03 22:57:37,34.5,39,3,9.04
RD-77987,2025-06-02 10:16:55,62.5,119,2,6.97
RD-40171,2025-06-07 19:34:44,65.2,114,2,2.3
RD-70214,2025-06-01 06:41:12,87.0,448,1,4.74
RD-17303,2025-06-05 02:21:31,28.1,367,3,3.25
RD-38518,2025-06-07 00:34:46,64.9,149,1,4.38
RD-38518,2025-06-05 14:45:35,85.5,142,3,7.51
RD-70214,2025-06-07 07:36:47,13.1,707,5,4.88
RD-73274,2025-06-06 12:27:28,56.7,220,1,9.45
RD-92869,2025-06-04 17:01:37,18.3,364,5,4.02
RD-65814,2025-06-07 18:08:14,21.2,1159,4,0.58
RD-59012,2025-06-07 18:50:57,13.6,318,3,9.69
RD-76046,2025-06-02 12:01:32,79.1,415,3,5.32
RD-68269,2025-06-02 07:58:25,31.9,1309,4,1.96
RD-29468,2025-06-06 17:22:39,9.3,984,3,9.23
RD-92869,2025-06-04 14:03:09,63.2,30,2,9.4
RD-19332,2025-06-04 08:29:29,11.0,360,3,6.2
RD-76046,2025-06-04 11:14:07,52.1,351,3,2.14
RD-88054,2025-06-06 20:33:19,75.1,226,1,6.3
RD-65194,2025-06-02 08:46:25,26.2,1284,5,7.94
RD-70214,2025-06-04 07:07:31,41.4,859,5,6.43
RD-11106,2025-06-07 17:21:12,32.2,445,3,4.76
RD-94800,2025-06-02 16:58:02,56.0,402,2,2.41
RD-10255,2025-06-04 08:41:39,31.1,409,3,2.82
RD-81084,2025-06-02 20:10:30,68.2,138,3,7.54
RD-38518,2025-06-03 05:44:39,79.8,163,3,7.2
RD-80345,2025-06-03 22:44:43,82.0,343,2,7.98
RD-65814,2025-06-02 17:16:00,33.1,690,3,8.24
RD-40951,2025-06-05 18:26:47,32.9,788,5,6.03
RD-80345,2025-06-05 09:02:53,66.1,521,2,1.32
RD-60026,2025-06-07 21:43:52,81.4,170,3,0.22
RD-13357,2025-06-07 10:01:34,72.0,17,1,6.79
RD-81084,2025-06-04 17:33:49,35.2,708,3,6.78
RD-47857,2025-06-01 19:17:57,27.6,94,2,0.51
RD-59852,2025-06-06 14:20:56,39.1,462,2,1.55
RD-65814,2025-06-04 16:13:34,60.1,437,3,2.72
RD-68269,2025-06-04 18:03:04,20.6,743,4,7.08
RD-19332,2025-06-07 20:31:38,73.6,213,1,7.89
RD-94800,2025-06-05 08:44:29,26.3,866,3,7.1
RD-92582,2025-06-02 17:38:49,19.8,835,5,8.6
RD-74461,2025-06-06 07:08:53,13.4,568,4,5.55
RD-11106,2025-06-07 23:27:44,91.3,369,2,2.59
RD-94800,2025-06-05 17:54:36,34.5,491,4,7.07
RD-15488,2025-06-05 07:12:05,7.0,711,3,9.87
RD-42922,2025-06-01 13:59:08,72.7,84,1,7.21
RD-74461,2025-06-06 19:44:54,46.1,464,3,8.16
RD-15488,2025-06-01 07:56:03,24.8,939,5,8.38
RD-30428,2025-06-02 08:56:18,41.3,1050,3,6.34
RD-29468,2025-06-04 06:55:04,57.7,303,2,3.75
RD-50199,2025-06-02 06:38:30,70.9,210,3,6.58
RD-19332,2025-06-02 07:30:23,25.8,377,4,9.19
RD-50204,2025-06-03 08:23:21,32.1,607,3,8.34
RD-17303,2025-06-04 08:23:19,24.8,968,3,6.26
RD-14705,2025-06-04 17:29:31,29.9,637,5,4.0
RD-13357,2025-06-06 19:45:56,29.7,495,3,1.98
RD-40951,2025-06-04 17:18:10,8.7,769,3,9.18
RD-75458,2025-06-02 07:34:42,35.3,1452,3,9.16
RD-38518,2025-06-03 08:08:16,31.8,1312,3,4.9
RD-13357,2025-06-07 17:49:38,20.7,1122,4,1.5
RD-88767,2025-06-02 07:56:16,26.2,387,5,4.48
RD-88054,2025-06-03 21:52:40,65.2,159,3,5.77
RD-59012,2025-06-05 13:31:23,39.4,300,1,0.94
RD-37171,2025-06-01 19:33:40,55.1,440,1,8.56
RD-51757,2025-06-01 09:37:05,48.1,456,2,3.98
RD-40951,2025-06-02 21:18:25,48.8,400,3,6.1
RD-59852,2025-06-04 17:20:29,38.7,454,5,0.9
RD-42922,2025-06-03 20:07:41,72.0,186,1,6.44
RD-68049,2025-06-06 10:03:32,55.9,375,3,8.02
RD-40951,2025-06-05 16:18:23,46.4,455,3,7.19
RD-30428,2025-06-05 14:58:59,46.3,317,1,2.72
RD-32096,2025-06-06 06:57:52,40.7,161,1,1.83
RD-12077,2025-06-06 05:32:12,62.2,152,1,7.98
RD-92869,2025-06-05 06:07:38,57.7,94,1,2.34
RD-30428,2025-06-01 17:50:21,32.3,641,5,7.58
RD-47857,2025-06-03 00:45:32,28.4,117,1,5.75
RD-47857,2025-06-06 02:32:06,88.1,62,3,1.68
RD-59852,2025-06-06 04:33:19,53.5,499,2,4.42
RD-88054,2025-06-03 07:52:23,24.5,1368,3,9.26
RD-65814,2025-06-01 18:54:51,11.4,373,3,0.74
RD-76046,2025-06-05 06:44:59,34.6,86,1,5.12
RD-68049,2025-06-07 20:19:52,34.2,143,3,7.45
RD-14705,2025-06-02 07:38:55,36.9,688,4,7.16
RD-70214,2025-06-06 08:42:09,21.8,601,5,5.96
RD-74461,2025-06-01 18:09:30,7.4,668,5,6.31
RD-65814,2025-06-06 10:16:20,40.0,489,3,7.17
RD-19332,2025-06-04 06:20:50,40.2,204,3,9.03
RD-65814,2025-06-02 11:50:17,52.5,323,2,0.66
RD-63576,2025-06-05 06:03:43,73.4,154,2,6.04
RD-63576,2025-06-02 19:53:54,56.2,135,2,8.79
RD-89119,2025-06-02 23:39:43,81.3,194,2,3.53
RD-89613,2025-06-02 08:30:52,11.9,430,3,9.07
RD-17303,2025-06-02 08:17:52,20.9,334,5,5.82
RD-12077,2025-06-07 20:47:41,48.2,174,2,8.15
RD-41787,2025-06-01 16:30:28,40.5,138,1,6.9
RD-10255,2025-06-05 06:45:11,76.2,493,2,3.45
RD-81084,2025-06-04 22:44:50,59.4,192,2,6.31
RD-11106,2025-06-06 10:01:48,61.9,244,3,8.25
RD-37171,2025-06-02 18:33:57,32.1,696,3,5.02
RD-50199,2025-06-03 17:33:28,18.4,1313,5,1.94
RD-88767,2025-06-01 18:38:23,16.8,1485,3,4.02
RD-73274,2025-06-03 09:19:59,69.4,176,1,4.94
RD-89613,2025-06-04 11:31:47,87.4,208,1,9.08
RD-50199,2025-06-04 06:11:14,73.7,156,2,7.41
RD-59752,2025-06-03 17:06:27,17.3,416,5,9.48
RD-65814,2025-06-01 08:34:02,15.8,1022,5,5.78
RD-80345,2025-06-06 03:13:39,77.4,326,1,0.98
RD-37171,2025-06-04 07:24:57,9.8,1339,4,8.82
RD-65814,2025-06-01 22:00:44,85.2,291,1,2.34
RD-40951,2025-06-04 18:55:33,42.0,1098,3,6.53
RD-65194,2025-06-04 17:43:46,25.3,1077,3,9.96
RD-70214,2025-06-06 09:17:14,53.5,87,2,9.94
RD-65814,2025-06-06 01:32:50,51.5,69,1,9.91
RD-14705,2025-06-04 11:58:51,62.3,177,3,4.97
RD-41787,2025-06-04 11:52:39,36.0,266,1,2.09
RD-65194,2025-06-01 18:36:04,27.4,482,4,0.84
RD-28356,2025-06-06 06:19:57,44.7,193,3,2.8
RD-81084,2025-06-01 17:56:04,9.3,712,4,6.35
RD-94800,2025-06-03 07:33:49,26.9,1261,3,8.96
RD-29468,2025-06-04 11:44:04,34.4,387,1,4.78
RD-10255,2025-06-02 14:13:47,85.3,514,2,9.66
RD-68269,2025-06-07 19:19:29,68.5,193,1,5.49
RD-29468,2025-06-06 18:25:15,35.9,849,3,9.89
RD-41787,2025-06-03 12:01:53,81.2,140,2,5.56
RD-51757,2025-06-04 05:23:48,37.4,333,1,7.79
RD-76046,2025-06-01 12:47:57,56.3,381,3,3.73
RD-32096,2025-06-07 05:46:24,87.7,247,3,1.07
RD-38518,2025-06-05 18:25:35,23.2,772,5,7.09
RD-59012,2025-06-04 08:39:56,31.9,708,4,9.46
