road_id,plate,pass_time,speed_kmh,vehicle_type,lane_no
RD-80345,蒙V14604,2025-06-02 18:18:22,53,truck,2
RD-92582,粤E45931,2025-06-03 16:53:10,66,motorcycle,4
RD-88767,川U37138,2025-06-05 02:37:35,81,bus,3
RD-15488,渝Q32693,2025-06-07 07:48:43,33,car,2
RD-65194,豫V81429,2025-06-04 05:46:26,107,car,1
RD-59012,鲁Z76351,2025-06-07 00:52:17,111,truck,1
RD-14705,渝R75103,2025-06-02 18:11:26,40,car,4
RD-19332,皖G90703,2025-06-02 18:21:15,51,car,1
RD-75458,皖F57114,2025-06-02 07:29:30,20,motorcycle,2
RD-13357,陕B97365,2025-06-03 17:04:12,24,truck,3
RD-63576,贵N22327,2025-06-04 08:15:32,28,motorcycle,2
RD-42922,藏R29091,2025-06-04 17:18:58,40,bus,1
RD-68049,鄂W76132,2025-06-04 16:44:30,53,car,3
RD-47857,粤E45931,2025-06-07 15:39:45,94,car,4
RD-11106,闽K16540,2025-06-06 19:47:43,60,truck,4
RD-89119,辽H98234,2025-06-07 20:05:12,72,truck,2
RD-11106,沪H73202,2025-06-02 10:34:59,68,motorcycle,4
RD-28356,鲁Z15634,2025-06-05 17:32:04,36,truck,4
RD-40171,黑V11836,2025-06-03 18:59:16,44,motorcycle,1
RD-51757,鲁P57236,2025-06-03 09:04:39,98,bus,1
RD-41787,鲁Z76351,2025-06-04 14:46:04,48,truck,2
RD-59852,津P64084,2025-06-04 18:11:51,29,truck,3
RD-59752,浙E09063,2025-06-06 21:21:13,42,truck,3
RD-73274,宁K34651,2025-06-07 16:32:52,111,car,4
RD-17303,黑Q95251,2025-06-03 16:34:32,114,bus,2
RD-10255,皖A42632,2025-06-04 06:10:52,72,motorcycle,1
RD-41935,新V80898,2025-06-06 08:20:08,37,motorcycle,2
RD-37171,沪S65106,2025-06-03 21:41:09,64,motorcycle,3
RD-12077,晋Y81799,2025-06-05 16:52:27,45,truck,1
RD-60026,甘A25897,2025-06-02 20:45:52,83,car,2
RD-76046,青V56332,2025-06-01 05:26:12,61,car,2
RD-37171,辽K28099,2025-06-06 08:09:01,21,car,2
RD-77987,琼S48954,2025-06-03 11:31:21,43,car,2
RD-11106,鄂S79160,2025-06-02 02:10:26,87,truck,3
RD-68269,粤H06560,2025-06-06 00:45:37,102,car,2
RD-75458,湘E32317,2025-06-02 06:24:58,56,bus,4
RD-40171,辽C66950,2025-06-07 18:38:00,18,bus,2
RD-17303,新U31433,2025-06-01 16:11:59,46,car,2
RD-32096,桂U75373,2025-06-03 09:17:17,100,bus,4
RD-92869,浙X86258,2025-06-06 17:11:56,28,car,2
RD-40951,皖D18985,2025-06-04 13:25:23,85,truck,3
